APIstr|year|quarter|API10|Comment
 |2012|3|3416729685|OOGC Disposal; missing APIstr; inferred from other sheets
340072167/SWIW #7|2014|2|3400721673|Typo? Only 9 digits. Inferred from July2018 SWD list
340092348/SWIW #7|2010|3|API_HERE-0|Typo? only 9 digits in API
34009237610000|2016|2|3400923761|Full API given; take just first 10 digits 
3400923821|2013|4|3400923821|API10 same as APIstr - unusual without swiw# 
34025920965/SWIW #1|2019|1|34025920965|This API is not on the list currently
34025920965/SWIW #1|2019|2|34025920965|This API is not on the list currently
34025920965/SWIW #1|2019|3|34025920965|This API is not on the list currently
34025920965/SWIW #1|2019|4|34025920965|This API is not on the list currently
3403127177, & 3403127178/SWIW #10 & 11|2014|1|3403127177| Multiple?
3403127177, & 3403127178/SWIW #10 & 11|2014|2|3403127177| Multiple?
3403127177, & 3403127178/SWIW #10 & 11|2014|3|3403127177| Multiple?
3403127177, 3403127178 & 3403127241/SWIW #10, 11, & 12|2015|1|3403127177| Multiple?
3403127177, 3403127178, & 3403127241/ SWIW #10, #11, & #12|2014|4|3403127177| Multiple?
3403127177, 3403127178, & 3403127241/ SWIW #10, #11, & #12|2015|4|3403127177| Multiple?
3403127177, 3403127178, & 3403127241/SWIW #10,  #11, & #12|2015|2|3403127177| Multiple?
3405320968/SWIW #1|2016|1|API_HERE-5|duplicate in this file; Typo? name almost identical to Huffman
3405320968/SWIW #1|2016|2|API_HERE-5|duplicate in this file; Typo? name almost identical to Huffman
3405320968/SWIW #1|2016|3|API_HERE-5|duplicate in this file; Typo? name almost identical to Huffman
3405320968/SWIW #1|2016|4|API_HERE-5|duplicate in this file; Typo? name almost identical to Huffman
3405320968/SWIW #1|2017|1|API_HERE-5|duplicate in this file; Typo? name almost identical to Huffman
3405320968/SWIW #1|2017|2|API_HERE-5|duplicate in this file; Typo? name almost identical to Huffman
3405320968/SWIW #1|2017|3|API_HERE-5|duplicate in this file; Typo? name almost identical to Huffman
3405320968/SWIW #1|2017|4|API_HERE-5|duplicate in this file; Typo? name almost identical to Huffman
3405320968/SWIW #2|2010|3|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2010|4|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2011|1|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2011|2|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2011|3|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2011|4|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2012|1|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2012|2|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2012|3|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2012|4|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2013|1|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2013|2|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2013|3|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2013|4|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2014|1|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2014|2|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2014|3|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2014|4|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2015|1|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2015|2|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2015|3|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405320968/SWIW #2|2015|4|API_HERE-5|duplicate in this file; Typo? well own by Huffman, not EnerVest
3405924067  & 3405924188|2012|2|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #1|2013|3|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #1|2014|2|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #1|2015|2|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2014|4|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2015|4|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2016|1|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2016|2|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2016|3|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2016|4|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2017|1|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2017|2|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2017|3|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2017|4|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2018|1|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2018|2|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2018|3|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2018|4|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2019|1|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2019|2|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2019|3|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & #13|2019|4|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & 1|2014|3|3405924067| Multiple?
3405924067 & 3405924188/SWIW #11 & 1|2015|3|3405924067| Multiple?
3405924067 & 3505924188|2012|3|3405924067| Multiple?
3405924067 &4188/SWIW #11 & #1|2013|4|3405924067| Multiple?
3405924067& 3405924188|2012|4|3405924067| Multiple?
